msg_id,sender,recipient,timestamp,size,delivered_timestamp,padded_size,is_dummy
m00005,U01,U10,0.552,717,0.6914267984578838,768,
dummy_0001,U01,U03,0.552,256,0.7496765499676008,1024,True
m00069,U01,U06,0.743,196,0.32993883262941615,256,
dummy_0003,U01,U07,0.743,1024,1.0058626253735177,256,True
m00040,U01,U05,1.072,397,1.133245062938613,512,
dummy_0005,U01,U05,1.072,1024,1.3263084354284878,512,True
m00088,U02,U03,1.291,213,1.6004304566778265,256,
dummy_0007,U02,U03,1.291,512,1.6868300787074517,384,True
m00076,U06,U01,1.636,781,1.3513137621075888,1024,
dummy_0009,U06,U06,1.636,512,1.8037014637834248,1024,True
m00002,U02,U09,1.701,724,1.465520867222013,768,
dummy_0011,U02,U09,1.701,768,2.4821810347855595,256,True
m00050,U10,U09,2.245,276,2.297040631273227,384,
dummy_0013,U10,U01,2.245,256,2.749146501679734,256,True
m00018,U01,U09,2.609,590,2.77026331856771,768,
dummy_0015,U01,U07,2.609,768,3.315538566728689,512,True
m00087,U04,U08,4.34,250,4.293410302368436,384,
dummy_0017,U04,U07,4.34,512,4.586654921540041,256,True
m00059,U02,U01,5.081,324,5.190131005666989,384,
dummy_0019,U02,U05,5.081,512,5.504582148295782,1024,True
m00082,U02,U06,5.365,1037,5.084615173970269,1024,
dummy_0021,U02,U09,5.365,256,5.625333650374873,512,True
m00038,U04,U06,6.526,664,6.4271647870223285,768,
dummy_0023,U04,U04,6.526,512,7.239457338530868,384,True
m00070,U02,U08,6.906,735,7.0614386652948795,768,
dummy_0025,U02,U03,6.906,384,7.106010113309444,384,True
m00072,U07,U03,6.933,467,7.177988982091606,512,
dummy_0027,U07,U07,6.933,768,7.661476018521734,512,True
m00093,U10,U05,7.578,322,7.297320759157284,384,
dummy_0029,U10,U06,7.578,256,8.207047510273616,384,True
m00049,U04,U09,10.291,1002,10.41844604170309,1024,
dummy_0031,U04,U08,10.291,1024,10.660337118172151,768,True
m00091,U09,U03,10.774,345,10.803114345099136,512,
dummy_0033,U09,U06,10.774,256,11.350198387179562,1024,True
m00043,U09,U08,13.392,481,13.64287779959161,768,
dummy_0035,U09,U05,13.392,768,13.796335675468374,256,True
m00071,U01,U05,14.378,901,14.831815927521081,1024,
dummy_0037,U01,U09,14.378,1024,15.011373539336445,256,True
m00086,U10,U02,14.706,442,15.076518569836766,512,
dummy_0039,U10,U01,14.706,512,14.945237771235313,384,True
m00085,U10,U05,14.751,169,14.790379030119626,256,
dummy_0041,U10,U10,14.751,768,15.27026120912216,256,True
m00079,U08,U02,15.004,994,14.615867725320895,1024,
dummy_0043,U08,U10,15.004,384,15.27161661723664,1024,True
m00097,U01,U05,15.155,284,15.601949445297993,256,
dummy_0045,U01,U08,15.155,1024,15.939589145574134,384,True
m00000,U03,U02,15.304,320,14.932391464499762,384,
dummy_0047,U03,U01,15.304,1024,15.773371651192779,768,True
m00060,U09,U04,16.081,300,16.545362906007455,384,
dummy_0049,U09,U10,16.081,512,16.321805744372785,768,True
m00033,U05,U04,16.119,837,16.614149356660896,1024,
dummy_0051,U05,U08,16.119,384,16.53504029897379,384,True
m00012,U04,U06,17.05,466,16.614025896326346,512,
dummy_0053,U04,U01,17.05,256,17.304152169116094,256,True
m00034,U03,U07,17.417,269,17.145941783811157,384,
dummy_0055,U03,U01,17.417,512,17.876909283866013,768,True
m00096,U04,U03,17.936,307,17.65023680737044,384,
dummy_0057,U04,U03,17.936,384,18.43934815480463,768,True
m00092,U03,U07,18.337,707,18.644496997766645,768,
dummy_0059,U03,U03,18.337,768,18.685008296612686,768,True
m00081,U09,U04,18.439,290,18.802836748369604,256,
dummy_0061,U09,U01,18.439,768,18.607892509806373,512,True
m00037,U02,U01,18.72,411,19.020592510861697,384,
dummy_0063,U02,U09,18.72,768,19.13402948348319,384,True
m00075,U05,U09,18.868,223,18.646545144666938,256,
dummy_0065,U05,U07,18.868,1024,19.53361557131219,256,True
m00084,U05,U01,19.634,421,19.184588329524882,512,
dummy_0067,U05,U06,19.634,384,20.38245688810569,384,True
m00065,U03,U04,20.454,286,20.36041405795247,384,
dummy_0069,U03,U09,20.454,256,20.66924598498107,768,True
m00027,U06,U08,20.765,344,20.53020305817215,384,
dummy_0071,U06,U07,20.765,1024,21.352614052520114,768,True
m00067,U02,U06,21.894,244,21.548796825274064,256,
dummy_0073,U02,U08,21.894,256,22.509016025152327,512,True
m00061,U09,U05,22.086,355,21.64316527290748,384,
dummy_0075,U09,U01,22.086,1024,22.296202909557636,256,True
m00023,U09,U01,23.021,720,23.37234254534412,768,
dummy_0077,U09,U04,23.021,1024,23.403642885922796,384,True
m00013,U08,U10,23.601,627,23.67991905750721,768,
dummy_0079,U08,U04,23.601,1024,24.109570602503858,512,True
m00021,U09,U04,24.267,287,24.701706257736426,384,
dummy_0081,U09,U04,24.267,384,24.552930158771947,512,True
m00064,U06,U01,24.396,151,24.353224572570454,256,
dummy_0083,U06,U06,24.396,1024,24.816799865833012,256,True
m00047,U05,U03,24.97,374,24.54326072109963,384,
dummy_0085,U05,U02,24.97,384,25.686604921580507,512,True
m00056,U03,U07,25.754,368,25.538987391216658,384,
dummy_0087,U03,U01,25.754,1024,26.282174436008166,256,True
m00016,U06,U02,26.338,454,26.505863203712586,512,
dummy_0089,U06,U03,26.338,384,27.095251002748974,512,True
m00077,U05,U07,26.991,282,26.606428670419103,256,
dummy_0091,U05,U04,26.991,384,27.288229390020525,512,True
m00032,U02,U01,27.18,772,26.883597312327453,1024,
dummy_0093,U02,U03,27.18,256,27.455784876448927,256,True
m00068,U09,U02,27.466,278,27.600284447309196,384,
dummy_0095,U09,U03,27.466,512,28.10578345611374,384,True
m00028,U10,U06,27.489,331,27.73023090834793,384,
dummy_0097,U10,U06,27.489,384,27.667311716412534,1024,True
m00022,U10,U06,27.548,478,27.08402813806083,512,
dummy_0099,U10,U03,27.548,512,27.737211863497496,512,True
m00089,U06,U09,28.13,791,28.528981488742588,1024,
dummy_0101,U06,U07,28.13,384,28.377053576837827,256,True
m00025,U07,U01,28.866,370,28.719678634614617,384,
dummy_0103,U07,U07,28.866,384,29.49063432780048,384,True
m00052,U10,U04,29.541,584,30.017206032930964,768,
dummy_0105,U10,U03,29.541,512,29.766552464392745,768,True
m00053,U07,U05,30.246,236,30.548235138937137,384,
dummy_0107,U07,U04,30.246,256,30.45743849008651,768,True
m00011,U09,U07,30.463,891,30.83516678290609,1024,
dummy_0109,U09,U03,30.463,384,30.807760897112143,384,True
m00024,U09,U03,31.121,304,30.64466443470145,384,
dummy_0111,U09,U08,31.121,512,31.89782237283385,512,True
m00015,U03,U07,32.928,775,33.06948173860763,768,
dummy_0113,U03,U09,32.928,256,33.25980490775008,256,True
m00098,U08,U07,32.956,427,33.333038411575565,512,
dummy_0115,U08,U01,32.956,1024,33.082780038147284,768,True
m00029,U04,U03,33.045,366,32.8906871116798,512,
dummy_0117,U04,U06,33.045,1024,33.22595204882053,384,True
m00007,U08,U09,33.172,460,32.92672250613858,512,
dummy_0119,U08,U09,33.172,384,33.75280000284017,512,True
m00066,U07,U02,34.247,308,34.17829739962499,384,
dummy_0121,U07,U07,34.247,256,34.56674095154085,512,True
m00051,U02,U05,34.403,586,34.410122504035265,768,
dummy_0123,U02,U03,34.403,384,34.70995864176816,384,True
m00063,U08,U03,34.797,818,34.717446333772905,1024,
dummy_0125,U08,U05,34.797,512,35.32786044116596,768,True
m00019,U10,U07,38.829,228,38.8769372131357,256,
dummy_0127,U10,U03,38.829,1024,39.479031179234305,512,True
m00001,U08,U09,39.096,618,39.06098819024701,768,
dummy_0129,U08,U02,39.096,384,39.7516147793742,256,True
m00044,U07,U06,39.589,252,39.37278640499303,384,
dummy_0131,U07,U06,39.589,384,40.261896425175664,512,True
m00080,U09,U08,39.71,313,39.434640665997286,384,
dummy_0133,U09,U01,39.71,1024,40.4987552159473,256,True
m00003,U07,U01,41.75,257,41.70541616838009,384,
dummy_0135,U07,U08,41.75,768,42.33744797534335,768,True
m00036,U05,U09,42.158,136,41.90198443957844,256,
dummy_0137,U05,U04,42.158,256,42.86030839579577,768,True
m00041,U03,U09,42.276,381,41.994841136812326,512,
dummy_0139,U03,U09,42.276,384,42.41115286959845,256,True
m00006,U04,U08,43.551,339,43.50746182547017,384,
dummy_0141,U04,U02,43.551,768,44.067816622928596,1024,True
m00010,U05,U02,44.589,730,44.90400650733168,1024,
dummy_0143,U05,U08,44.589,384,45.00113952845369,768,True
m00014,U08,U04,44.624,339,44.57406975724691,384,
dummy_0145,U08,U08,44.624,1024,45.26006957900802,768,True
m00073,U04,U03,44.64,218,44.76674843698178,256,
dummy_0147,U04,U06,44.64,512,44.90414550461025,512,True
m00058,U09,U08,46.077,249,46.47002683279032,256,
dummy_0149,U09,U06,46.077,384,46.66276486860934,256,True
m00020,U04,U01,46.231,301,46.14586789589822,384,
dummy_0151,U04,U09,46.231,768,46.47578407266009,768,True
m00090,U02,U10,46.665,206,47.06983847834017,256,
dummy_0153,U02,U03,46.665,768,47.16798324276706,256,True
m00094,U09,U01,46.785,604,47.227741657434095,768,
dummy_0155,U09,U05,46.785,1024,47.26175439732716,1024,True
m00030,U02,U10,47.826,518,48.2238113473992,768,
dummy_0157,U02,U03,47.826,512,47.9463173739627,768,True
m00055,U04,U07,48.668,341,48.89218137762729,384,
dummy_0159,U04,U07,48.668,768,49.14188654067275,1024,True
m00017,U03,U10,50.397,250,50.461391983024775,256,
dummy_0161,U03,U08,50.397,384,51.10379594891659,256,True
m00095,U10,U09,50.443,755,50.2031563139193,768,
dummy_0163,U10,U07,50.443,768,51.07586079552582,512,True
m00031,U05,U01,50.505,364,50.75700982355479,512,
dummy_0165,U05,U06,50.505,1024,50.934214785349134,256,True
m00046,U05,U02,51.511,247,52.01090782850921,256,
dummy_0167,U05,U02,51.511,256,51.63918069627854,384,True
m00062,U05,U04,52.045,335,51.74436068236253,384,
