msg_id,sender,recipient,timestamp,size,delivered_timestamp,padded_size,is_dummy
m00005,U01,U10,0.552,717,0.6914267984578838,640,
dummy_0001,U01,U03,0.552,320,0.7496765499676008,1024,True
m00069,U01,U06,0.743,196,0.32993883262941615,256,
dummy_0003,U01,U07,0.743,256,1.0058626253735177,1024,True
m00040,U01,U05,1.072,397,0.7708376506866486,448,
m00088,U02,U03,1.291,213,1.0114406220406966,256,
m00076,U06,U01,1.636,781,1.142498759678061,896,
m00002,U02,U09,1.701,724,1.541250516517992,768,
m00050,U10,U09,2.245,276,2.081594545112627,256,
dummy_0009,U10,U02,2.245,256,2.7676082219568237,896,True
m00018,U01,U09,2.609,590,2.6452280914547006,768,
m00087,U04,U08,4.34,250,4.392040631273227,320,
m00059,U02,U01,5.081,324,5.442706900310777,384,
m00082,U02,U06,5.365,1037,4.910824383655663,1024,
dummy_0014,U02,U06,5.365,320,6.063722404710603,768,True
m00038,U04,U06,6.526,664,6.303973603110092,768,
m00070,U02,U08,6.906,735,6.776180967116883,768,
dummy_0017,U02,U02,6.906,384,7.459624769672615,1024,True
m00072,U07,U03,6.933,467,7.162126797950349,448,
m00093,U10,U05,7.578,322,8.067523350636595,384,
m00049,U04,U09,10.291,1002,10.475614250989874,1024,
m00091,U09,U03,10.774,345,10.503048071964104,320,
dummy_0022,U09,U04,10.774,640,10.920332023648083,448,True
m00043,U09,U08,13.392,481,13.54743866529488,512,
m00071,U01,U05,14.378,901,14.3368518525874,896,
dummy_0025,U01,U02,14.378,768,14.855284102767104,768,True
m00086,U10,U02,14.706,442,14.56799644371361,512,
dummy_0027,U10,U07,14.706,256,14.869636588521654,320,True
m00085,U10,U05,14.751,169,14.40384131934826,256,
m00079,U08,U02,15.004,994,15.100409030731974,1024,
m00097,U01,U05,15.155,284,15.123049887784676,320,
m00000,U03,U02,15.304,320,15.74643086137981,384,
dummy_0032,U03,U09,15.304,640,15.929614459714127,320,True
m00060,U09,U04,16.081,300,15.874500128647426,320,
dummy_0034,U09,U07,16.081,512,16.794097058264736,1024,True
m00033,U05,U04,16.119,837,16.380962199052064,896,
dummy_0036,U05,U10,16.119,1024,16.427911354014043,448,True
m00012,U04,U06,17.05,466,16.702839268549635,512,
m00034,U03,U07,17.417,269,17.695626478630558,320,
dummy_0039,U03,U01,17.417,320,17.859023995620266,640,True
m00096,U04,U03,17.936,307,18.314721877823185,384,
dummy_0041,U04,U09,17.936,320,18.204610114713063,320,True
m00092,U03,U07,18.337,707,18.568907594844628,896,
m00081,U09,U04,18.439,290,18.471706169529515,320,
m00037,U02,U01,18.72,411,19.16684867970499,384,
m00075,U05,U09,18.868,223,18.97459391748263,256,
m00084,U05,U01,19.634,421,19.889265196635805,448,
m00065,U03,U04,20.454,286,20.352992299997428,320,
m00027,U06,U08,20.765,344,21.164614084642945,384,
dummy_0049,U06,U08,20.765,1024,21.101659893503218,448,True
m00067,U02,U06,21.894,244,21.98244011441035,256,
m00061,U09,U05,22.086,355,21.644873766876323,320,
dummy_0052,U09,U03,22.086,448,22.235600144922056,512,True
m00023,U09,U01,23.021,720,23.18997777829628,768,
dummy_0054,U09,U03,23.021,448,23.52434815480463,896,True
m00013,U08,U10,23.601,627,23.908496997766644,640,
dummy_0056,U08,U03,23.601,768,23.949008296612686,896,True
m00021,U09,U04,24.267,287,24.630836748369603,256,
m00064,U06,U01,24.396,151,24.542179751294984,256,
m00047,U05,U03,24.97,374,25.270592510861697,384,
dummy_0060,U05,U09,24.97,768,25.38402948348319,384,True
m00056,U03,U07,25.754,368,25.53254514466694,384,
m00016,U06,U02,26.338,454,26.281130745053456,512,
m00077,U05,U07,26.991,282,26.54158832952488,384,
m00032,U02,U01,27.18,772,27.64899625728475,896,
m00068,U09,U02,27.466,278,27.132311110603915,320,
dummy_0066,U09,U01,27.466,384,28.197710005857385,768,True
m00028,U10,U06,27.489,331,26.991155378351426,320,
m00022,U10,U06,27.548,478,27.83312935679412,448,
m00089,U06,U09,28.13,791,28.360505317415466,896,
m00025,U07,U01,28.866,370,28.852671411654327,384,
dummy_0071,U07,U09,28.866,1024,29.371426203571378,256,True
m00052,U10,U04,29.541,584,29.788975560379065,512,
m00053,U07,U05,30.246,236,30.248850382919514,320,
dummy_0074,U07,U06,30.246,384,30.40207802566841,320,True
m00011,U09,U07,30.463,891,30.558035106450028,1024,
