msg_id,sender,recipient,timestamp,size,delivered_timestamp,padded_size,is_dummy
m00005,U01,U10,0.552,717,0.6914267984578838,768,
dummy_0001,U01,U03,0.552,256,0.7496765499676008,256,True
m00069,U01,U06,0.743,196,0.8334925124490397,256,
dummy_0003,U01,U07,0.743,256,1.1967487016723537,384,True
m00040,U01,U05,1.072,397,1.2880196129224035,512,
dummy_0005,U01,U07,1.072,256,1.5844859787131362,384,True
m00088,U02,U03,1.291,213,1.4891393949882268,256,
dummy_0007,U02,U03,1.291,256,1.6266161815788387,768,True
m00076,U06,U01,1.636,781,1.232716376833464,768,
dummy_0009,U06,U09,1.636,256,2.2468122506856725,768,True
m00002,U02,U09,1.701,724,1.2798001980784584,768,
dummy_0011,U02,U01,1.701,256,2.2051465016797334,256,True
m00050,U10,U09,2.245,276,2.40626331856771,384,
m00018,U01,U09,2.609,590,2.964317721015147,768,
dummy_0014,U01,U03,2.609,512,3.1539791109850803,384,True
m00087,U04,U08,4.34,250,4.210180967116883,256,
dummy_0016,U04,U02,4.34,384,4.893624769672615,384,True
m00059,U02,U01,5.081,324,4.744402493761929,384,
m00082,U02,U06,5.365,1037,5.504999759854093,768,
dummy_0019,U02,U04,5.365,384,6.008199938082372,256,True
m00038,U04,U06,6.526,664,6.831045800771214,768,
dummy_0021,U04,U04,6.526,512,7.239457338530868,384,True
m00070,U02,U08,6.906,735,7.0614386652948795,768,
m00072,U07,U03,6.933,467,6.891851852587399,512,
dummy_0024,U07,U02,6.933,768,7.410284102767103,768,True
m00093,U10,U05,7.578,322,7.4399964437136115,384,
dummy_0026,U10,U07,7.578,256,7.741636588521656,256,True
m00049,U04,U09,10.291,1002,9.94384131934826,768,
dummy_0028,U04,U10,10.291,768,10.43546939430637,768,True
m00091,U09,U03,10.774,345,10.803114345099136,512,
m00043,U09,U08,13.392,481,12.903481021942818,512,
dummy_0031,U09,U09,13.392,512,14.017614459714126,256,True
m00071,U01,U05,14.378,901,14.171500128647427,768,
dummy_0033,U01,U07,14.378,512,15.091097058264737,384,True
m00086,U10,U02,14.706,442,14.713681674604326,512,
dummy_0035,U10,U09,14.706,384,15.161364017384344,384,True
m00085,U10,U05,14.751,169,14.624913852591147,256,
m00079,U08,U02,15.004,994,15.426434080618275,768,
dummy_0038,U08,U03,15.004,512,15.117633719670081,512,True
m00097,U01,U05,15.155,284,14.894452310338059,384,
dummy_0040,U01,U06,15.155,768,15.314957416447514,256,True
m00000,U03,U02,15.304,320,15.781984493677335,384,
dummy_0042,U03,U04,15.304,384,15.736697664669112,512,True
m00060,U09,U04,16.081,300,16.108673787418255,384,
m00033,U05,U04,16.119,837,16.547913493002177,768,
dummy_0045,U05,U08,16.119,512,16.437201403910628,768,True
m00012,U04,U06,17.05,466,17.449614084642945,512,
dummy_0047,U04,U08,17.05,384,17.386659893503218,384,True
m00034,U03,U07,17.417,269,16.924190838985094,384,
dummy_0049,U03,U08,17.417,512,18.150794009104292,256,True
m00096,U04,U03,17.936,307,17.95015611980859,384,
dummy_0051,U04,U09,17.936,768,18.12861829410752,384,True
m00092,U03,U07,18.337,707,18.621619424290753,768,
dummy_0053,U03,U08,18.337,512,18.898287924660263,768,True
m00081,U09,U04,18.439,290,18.35010227604974,384,
dummy_0055,U09,U02,18.439,256,19.227915647956177,256,True
m00037,U02,U01,18.72,411,18.62262128210227,512,
m00075,U05,U09,18.868,223,18.616656333920282,256,
dummy_0058,U05,U07,18.868,768,19.09644162505106,384,True
m00084,U05,U01,19.634,421,20.00848595407058,384,
dummy_0060,U05,U08,19.634,256,19.80253610974112,256,True
m00065,U03,U04,20.454,286,20.880366983008127,384,
dummy_0062,U03,U03,20.454,768,20.890950892579728,256,True
m00027,U06,U08,20.765,344,20.429637121401527,384,
dummy_0064,U06,U03,20.765,768,21.064674460262843,384,True
m00067,U02,U06,21.894,244,21.583897867267634,256,
dummy_0066,U02,U10,21.894,512,22.37353664096199,256,True
m00061,U09,U05,22.086,355,21.63614233726395,384,
m00023,U09,U01,23.021,720,23.05212613527054,768,
