msg_id,sender,recipient,timestamp,size,delivered_timestamp,padded_size,is_dummy
m00005,U01,U10,0.552,717,0.6914267984578838,640,
dummy_0001,U01,U03,0.552,320,0.7496765499676008,896,True
m00069,U01,U06,0.743,196,0.9836677446676758,256,
m00040,U01,U05,1.072,397,0.6037826794817837,384,
dummy_0004,U01,U01,1.072,448,1.1905751787787047,960,True
m00088,U02,U03,1.291,213,1.4408844377795231,256,
dummy_0006,U02,U01,1.291,256,1.5857334957614637,1024,True
m00076,U06,U01,1.636,781,1.9418192518328077,832,
dummy_0008,U06,U02,1.636,1024,1.886719633475312,576,True
m00002,U02,U09,1.701,724,1.3032102765198488,704,
m00050,U10,U09,2.245,276,2.088955722478971,256,
dummy_0011,U10,U03,2.245,640,2.7203596640182908,320,True
m00018,U01,U09,2.609,590,2.661040631273227,704,
m00087,U04,U08,4.34,250,4.701706900310777,256,
m00059,U02,U01,5.081,324,4.626824383655663,320,
dummy_0015,U02,U06,5.081,320,5.779722404710603,640,True
m00082,U02,U06,5.365,1037,5.142973603110092,1024,
m00038,U04,U06,6.526,664,6.396180967116883,640,
dummy_0018,U04,U02,6.526,832,7.079624769672615,896,True
m00070,U02,U08,6.906,735,6.577138648198097,832,
dummy_0020,U02,U06,6.906,896,7.194963478748995,960,True
m00072,U07,U03,6.933,467,6.9899497437746465,512,
m00093,U10,U05,7.578,322,7.853999911546245,320,
dummy_0023,U10,U04,7.578,320,7.95881535091563,448,True
m00049,U04,U09,10.291,1002,10.704136124185545,1024,
m00091,U09,U03,10.774,345,10.48662654405414,384,
m00043,U09,U08,13.392,481,13.534851870200423,448,
dummy_0027,U09,U09,13.392,512,13.884957693914204,960,True
m00071,U01,U05,14.378,901,14.462585990223541,1024,
m00086,U10,U02,14.706,442,14.425320759157282,512,
m00085,U10,U05,14.751,169,14.341909412173793,256,
dummy_0031,U10,U10,14.751,896,14.962987401205714,640,True
m00079,U08,U02,15.004,994,15.100409030731974,960,
m00097,U01,U05,15.155,284,15.123049887784676,320,
m00000,U03,U02,15.304,320,15.74643086137981,384,
dummy_0035,U03,U09,15.304,1024,15.929614459714127,896,True
m00060,U09,U04,16.081,300,15.921175473031045,320,
dummy_0037,U09,U10,16.081,960,16.848671149264757,512,True
m00033,U05,U04,16.119,837,16.590888098870114,960,
m00012,U04,U06,17.05,466,16.656410822797707,512,
m00034,U03,U07,17.417,269,17.424662881977635,256,
m00096,U04,U03,17.936,307,17.597549035753154,384,
m00092,U03,U07,18.337,707,18.7554934943957,768,
m00081,U09,U04,18.439,290,18.050867725320895,320,
m00037,U02,U01,18.72,411,19.026774804797128,384,
dummy_0045,U02,U04,18.72,320,19.482864611708596,960,True
m00075,U05,U09,18.868,223,18.853990463316613,256,
m00084,U05,U01,19.634,421,19.89983442930699,384,
m00065,U03,U04,20.454,286,20.503803593494943,320,
m00027,U06,U08,20.765,344,20.68813794020089,320,
m00067,U02,U06,21.894,244,22.123931069089974,256,
dummy_0051,U02,U10,21.894,704,22.448914640347617,768,True
m00061,U09,U05,22.086,355,22.037486141391128,384,
dummy_0053,U09,U05,22.086,448,22.597816102920063,832,True
m00023,U09,U01,23.021,720,22.74121738445156,640,
m00013,U08,U10,23.601,627,23.329941783811154,704,
m00021,U09,U04,24.267,287,23.837857349888655,320,
m00064,U06,U01,24.396,151,24.11023680737044,256,
m00047,U05,U03,24.97,374,25.041043093325282,384,
m00056,U03,U07,25.754,368,26.061496997766646,384,
dummy_0060,U03,U03,25.754,640,26.102008296612688,704,True
m00016,U06,U02,26.338,454,26.701836748369605,448,
m00077,U05,U07,26.991,282,27.137179751294983,256,
m00032,U02,U01,27.18,772,27.480592510861698,704,
dummy_0064,U02,U09,27.18,640,27.59402948348319,384,True
m00068,U09,U02,27.466,278,27.24454514466694,320,
m00028,U10,U06,27.489,331,27.432130745053456,384,
m00022,U10,U06,27.548,478,27.09858832952488,576,
m00089,U06,U09,28.13,791,28.59899625728475,896,
m00025,U07,U01,28.866,370,28.532311110603914,384,
dummy_0070,U07,U01,28.866,384,29.597710005857383,640,True
m00052,U10,U04,29.541,584,29.043155378351425,576,
m00053,U07,U05,30.246,236,30.53112935679412,256,
m00011,U09,U07,30.463,891,30.693505317415468,1024,
m00024,U09,U03,31.121,304,31.107671411654326,320,
dummy_0075,U09,U09,31.121,768,31.626426203571377,256,True
m00015,U03,U07,32.928,775,33.17597556037906,704,
m00098,U08,U07,32.956,427,32.958850382919515,512,
dummy_0078,U08,U06,32.956,384,33.11207802566842,320,True
m00029,U04,U03,33.045,366,33.14003510645003,448,
dummy_0080,U04,U09,33.045,832,33.804117289060365,448,True
m00007,U08,U09,33.172,460,33.25091905750721,448,
dummy_0082,U08,U04,33.172,768,33.680570602503856,576,True
m00066,U07,U02,34.247,308,34.68170625773643,320,
m00051,U02,U05,34.403,586,34.141685952615845,576,
m00063,U08,U03,34.797,818,34.59699707979876,832,
m00019,U10,U07,38.829,228,38.40154311449316,256,
m00001,U08,U09,39.096,618,39.59209644785509,576,
dummy_0088,U08,U01,39.096,576,39.288719599256524,320,True
m00044,U07,U06,39.589,252,39.96827024248454,256,
dummy_0090,U07,U09,39.589,832,40.181477947561156,1024,True
m00080,U09,U08,39.71,313,39.86397631771074,320,
m00003,U07,U01,41.75,257,41.54937875219998,320,
m00036,U05,U09,42.158,136,41.79229111439337,256,
dummy_0094,U05,U08,42.158,512,42.36681353684249,832,True
m00041,U03,U09,42.276,381,41.98662965480695,384,
m00006,U04,U08,43.551,339,43.9039128153919,384,
dummy_0097,U04,U09,43.551,640,43.71560892739892,512,True
m00010,U05,U02,44.589,730,44.13308676179905,704,
dummy_0099,U05,U01,44.589,704,44.80210738339172,768,True
m00014,U08,U04,44.624,339,44.82966744675999,384,
dummy_0101,U08,U10,44.624,768,45.35675000009193,256,True
m00073,U04,U03,44.64,218,44.97459501988602,256,
dummy_0103,U04,U03,44.64,576,44.7692802007182,1024,True
m00058,U09,U08,46.077,249,46.54919626501726,256,
m00020,U04,U01,46.231,301,46.41306668831058,320,
m00090,U02,U10,46.665,206,46.724883519143866,256,
m00094,U09,U01,46.785,604,47.03447761114354,704,
dummy_0108,U09,U05,46.785,1024,47.56834422305167,384,True
m00030,U02,U10,47.826,518,48.207416204663325,448,
m00055,U04,U07,48.668,341,48.50018546794643,448,
m00017,U03,U10,50.397,250,50.76106402837528,320,
dummy_0112,U03,U03,50.397,256,50.572666938482065,704,True
m00095,U10,U09,50.443,755,50.16543371754566,832,
m00031,U05,U01,50.505,364,50.310190867338605,448,
dummy_0115,U05,U03,50.505,640,51.06702322792404,576,True
m00046,U05,U02,51.511,247,51.28960306102301,256,
m00062,U05,U04,52.045,335,51.89614612908275,384,
m00048,U01,U10,52.723,196,53.06666116327208,256,
dummy_0119,U01,U01,52.723,512,52.947997471320726,256,True
m00054,U10,U07,53.981,181,53.58940254721471,256,
m00004,U04,U02,54.086,368,53.89967731419499,384,
m00074,U07,U10,54.553,298,54.438195433344724,320,
dummy_0123,U07,U10,54.553,768,54.95824026081848,1024,True
m00078,U02,U03,54.804,966,54.842451997092795,1024,
m00009,U07,U10,55.331,264,55.501628504433,256,
dummy_0126,U07,U10,55.331,832,56.07553959935263,576,True
m00057,U02,U08,55.931,376,56.09438747626554,384,
m00083,U02,U07,56.444,314,56.45112250403527,384,
dummy_0129,U02,U03,56.444,384,56.750958641768165,448,True
m00026,U09,U04,56.461,291,56.38144633377291,384,
m00035,U05,U10,57.117,432,57.51980554573258,448,
dummy_0132,U05,U08,57.117,512,57.800607618512835,512,True
m00008,U04,U09,57.135,1052,56.84518268488264,1024,
m00039,U09,U04,57.934,422,57.75624922973653,448,
m00045,U05,U03,58.074,683,58.08517399687459,768,
m00042,U09,U04,58.619,366,58.85496144594022,384,
dummy_0137,U09,U04,58.619,576,59.16205859903606,320,True
